latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
29.95788,-93.88673,300.96,1.49,1.21,2023-12-06,0334,T,36,6.1NRT,271.06,14.93,N
29.9643,-93.87891,300.93,1.49,1.2,2023-12-06,0334,T,21,6.1NRT,270.39,13.22,N
31.89175,-85.68315,302.16,1.33,1.14,2023-12-06,0336,T,47,6.1NRT,280.04,13.09,N
31.49182,-95.97283,300.71,1.89,1.34,2023-12-06,0336,T,32,6.1NRT,277.6,20.65,N
33.97397,-89.1375,301.11,1.02,1.01,2023-12-06,0336,T,38,6.1NRT,277.82,8.59,N
33.41981,-110.86534,304.93,1.3,1.13,2023-12-06,0514,T,62,6.1NRT,280.1,15.12,N
39.74805,-121.01974,315.03,1.33,1.14,2023-12-06,0516,T,51,6.1NRT,274.28,24.82,N
39.74543,-121.03433,330.83,1.34,1.15,2023-12-06,0516,T,100,6.1NRT,273.96,51.68,N
39.74268,-121.04967,306.25,1.34,1.15,2023-12-06,0516,T,49,6.1NRT,272.24,16.59,N
39.756,-121.02834,307.37,1.33,1.14,2023-12-06,0516,T,71,6.1NRT,272.87,18.28,N
39.74897,-121.03622,308.28,1.02,1.01,2023-12-06,1034,A,74,6.1NRT,273.85,13.54,N
28.39992,-81.65367,302.32,1,1,2023-12-06,1539,T,52,6.1NRT,291.34,4.32,D
27.39962,-80.50092,305.11,1.02,1.01,2023-12-06,1539,T,59,6.1NRT,294.19,4.85,D
27.05235,-81.26946,304.97,1,1,2023-12-06,1539,T,60,6.1NRT,292.26,5.32,D
27.05091,-81.25961,314.36,1,1,2023-12-06,1539,T,75,6.1NRT,292.76,12.18,D
27.11945,-81.98576,302.27,1.01,1,2023-12-06,1539,T,51,6.1NRT,291.77,3.62,D
26.85658,-80.57767,307.32,1.02,1.01,2023-12-06,1539,T,55,6.1NRT,294.47,5.58,D
26.84768,-80.57933,309.24,1.02,1.01,2023-12-06,1539,T,68,6.1NRT,292.12,6.99,D
26.95829,-81.50488,303.65,1,1,2023-12-06,1539,T,57,6.1NRT,293.24,4.3,D
26.74018,-80.48126,302.3,1.03,1.01,2023-12-06,1539,T,44,6.1NRT,291.87,3.76,D
26.67768,-80.79783,333.43,1.02,1.01,2023-12-06,1539,T,88,6.1NRT,295.03,32.42,D
26.42494,-81.21392,301.65,1.01,1,2023-12-06,1539,T,48,6.1NRT,290.84,4.01,D
22.87968,-80.87624,308.92,1.07,1.03,2023-12-06,1541,T,52,6.1NRT,296.73,6.17,D
22.62971,-83.04384,307.25,1,1,2023-12-06,1541,T,48,6.1NRT,295.37,3.55,D
22.62086,-83.04527,313.46,1,1,2023-12-06,1541,T,70,6.1NRT,295.55,8.14,D
22.35265,-83.69389,307.63,1.03,1.01,2023-12-06,1541,T,57,6.1NRT,293.85,4.01,D
34.95459,-79.21587,319.03,1,1,2023-12-06,1537,T,79,6.1NRT,284.75,18.56,D
34.95302,-79.20518,305.21,1,1,2023-12-06,1537,T,61,6.1NRT,283.88,7.96,D
34.57043,-82.15961,302.53,1.13,1.06,2023-12-06,1539,T,53,6.1NRT,283.82,8.38,D
33.05134,-79.79218,304.99,1,1,2023-12-06,1539,T,60,6.1NRT,285.74,8.19,D
33.44176,-83.442,311.67,1.26,1.11,2023-12-06,1539,T,72,6.1NRT,283.9,18.45,D
33.4402,-83.42879,321.56,1.25,1.11,2023-12-06,1539,T,81,6.1NRT,284.44,30.53,D
33.16573,-82.40072,301.86,1.12,1.06,2023-12-06,1539,T,49,6.1NRT,285.52,7.02,D
32.83514,-80.72565,316.28,1.01,1,2023-12-06,1539,T,77,6.1NRT,285.63,16.72,D
32.87012,-82.44073,310.44,1.12,1.05,2023-12-06,1539,T,70,6.1NRT,285.51,13.54,D
32.86863,-82.42902,312.04,1.12,1.05,2023-12-06,1539,T,72,6.1NRT,285.51,14.76,D
32.83416,-82.84846,309.61,1.16,1.07,2023-12-06,1539,T,69,6.1NRT,287.58,13.27,D
32.83033,-82.85516,300.75,1.16,1.07,2023-12-06,1539,T,41,6.1NRT,286.93,7.11,D
32.75523,-82.33573,302.36,1.1,1.05,2023-12-06,1539,T,52,6.1NRT,285.96,7.99,D
32.75375,-82.3242,309.97,1.1,1.05,2023-12-06,1539,T,69,6.1NRT,285.23,13.48,D
33.04706,-85.33285,320.21,1.6,1.24,2023-12-06,1539,T,70,6.1NRT,283.39,40.52,D
32.4904,-82.21842,350.37,1.09,1.04,2023-12-06,1539,T,96,6.1NRT,287.33,73.7,D
32.48896,-82.20709,317.82,1.09,1.04,2023-12-06,1539,T,78,6.1NRT,285.64,19.79,D
32.50407,-84.12773,309.66,1.33,1.14,2023-12-06,1539,T,65,6.1NRT,284.42,17.35,D
32.02308,-81.18976,305.3,1.02,1.01,2023-12-06,1539,T,61,6.1NRT,285.86,8.18,D
32.02163,-81.17922,306.7,1.02,1.01,2023-12-06,1539,T,64,6.1NRT,286.44,9.04,D
32.2434,-83.27782,300.9,1.2,1.09,2023-12-06,1539,T,43,6.1NRT,284.46,7.37,D
32.07408,-82.83562,320.28,1.14,1.06,2023-12-06,1539,T,76,6.1NRT,285.97,22.14,D
32.0726,-82.82382,328.78,1.14,1.06,2023-12-06,1539,T,86,6.1NRT,286.93,33.41,D
32.06467,-82.83722,315.9,1.14,1.06,2023-12-06,1539,T,76,6.1NRT,285.29,18.32,D
32.06319,-82.8254,322.6,1.14,1.06,2023-12-06,1539,T,82,6.1NRT,285.81,25.95,D
31.91619,-82.68919,324,1.12,1.05,2023-12-06,1539,T,83,6.1NRT,286.63,28.09,D
31.91475,-82.6776,302.14,1.12,1.05,2023-12-06,1539,T,51,6.1NRT,285.19,7.63,D
31.72221,-82.38467,300.28,1.09,1.04,2023-12-06,1539,T,34,6.1NRT,286.99,5.74,D
31.73514,-83.06233,311.9,1.16,1.07,2023-12-06,1539,T,72,6.1NRT,285.48,15.85,D
31.55371,-82.72784,308.16,1.12,1.05,2023-12-06,1539,T,67,6.1NRT,285.52,11.47,D
31.20343,-83.1383,312.58,1.15,1.07,2023-12-06,1539,T,73,6.1NRT,286.07,16.08,D
31.20194,-83.12648,329.58,1.15,1.07,2023-12-06,1539,T,86,6.1NRT,287.77,36.79,D
30.97967,-83.88029,302.4,1.24,1.11,2023-12-06,1539,T,52,6.1NRT,285.33,8.86,D
30.43074,-83.3736,300.3,1.16,1.07,2023-12-06,1539,T,34,6.1NRT,286.31,5.85,D
30.03246,-81.9929,311.88,1.03,1.01,2023-12-06,1539,T,72,6.1NRT,286.5,13.26,D
30.40044,-85.12434,320.01,1.43,1.18,2023-12-06,1539,T,80,6.1NRT,285.47,33.57,D
29.71395,-81.88627,322.48,1.02,1.01,2023-12-06,1539,T,82,6.1NRT,288.69,22.2,D
29.80193,-82.68313,310.47,1.07,1.03,2023-12-06,1539,T,70,6.1NRT,287.36,11.83,D
29.80052,-82.67226,304.92,1.07,1.03,2023-12-06,1539,T,60,6.1NRT,288.78,7.7,D
29.49132,-81.14919,307.82,1,1,2023-12-06,1539,T,57,6.1NRT,288.66,8.99,D
29.54146,-82.80135,303.9,1.08,1.04,2023-12-06,1539,T,57,6.1NRT,289,5.6,D
29.44016,-82.80187,303,1.08,1.04,2023-12-06,1539,T,54,6.1NRT,288.18,6.58,D
28.62143,-80.9428,301.27,1,1,2023-12-06,1539,T,35,6.1NRT,290.02,4.83,D
21.79024,-105.11123,313.51,1.14,1.06,2023-12-06,1719,T,64,6.1NRT,298.86,6.67,D
37.56813,-106.10222,300.49,1.13,1.06,2023-12-06,1717,T,36,6.1NRT,284.26,6.68,D
33.52504,-95.06052,315.64,2.91,1.63,2023-12-06,1717,T,76,6.1NRT,284.68,73.94,D
32.91002,-93.05625,302.27,4.08,1.87,2023-12-06,1717,T,28,6.1NRT,283.28,47.74,D
32.89403,-93.0619,319.48,4.08,1.87,2023-12-06,1717,T,79,6.1NRT,282.81,150.2,D
32.90501,-93.06553,320.84,4.08,1.87,2023-12-06,1717,T,80,6.1NRT,283.56,163.59,D
32.89503,-93.02417,307.92,4.11,1.88,2023-12-06,1717,T,66,6.1NRT,283.14,83.7,D
32.24491,-93.10257,302.88,4.22,1.9,2023-12-06,1717,T,54,6.1NRT,281.68,60.12,D
